Company Name,Website,Category,Priority,YouTube Fit,Instagram Fit,Proven Creator Spend,Thematic Fit,Contactability,Weighted Score,Evidence of Creator Sponsorship,Comparable Channels,Personalization Hook,Likely Exclusivity / Conflict,Research / Evidence URL,Evidence Confidence,Company Status,Next Action,Owner,Last Contact,Next Follow-up,Notes
Ground News,https://ground.news,News / media literacy,A+,5,5,5,5,5,5,"Repeated sponsor across geopolitics, defence, politics and long-form analysis channels.",Perun; The Operations Room; Search Party; TLDR Daily; Rationality Rules,"Audience already comes to understand complex international stories; position Ground News as a natural research habit, not an inserted ad.",News/media-analysis category may conflict with direct competitors.,https://sponsorradar.com/channels/perunau,Verified – comparable channels,Not contacted,Review contacts + personalize first touch,,,,Best first non-Proton target. Strong evidence of creator-led acquisition and long-form YouTube sponsorships.
Proton VPN,https://protonvpn.com,Privacy / VPN,A+,5,5,5,5,5,5,Official partner/influencer route plus creator sponsorship activity in adjacent security/geopolitics channels.,Type Ashton; Election-style politics channels,"Privacy, surveillance, intelligence and digital security are directly adjacent to the editorial subject matter.",VPN exclusivity usually blocks NordVPN/Surfshark/PIA/ExpressVPN/Saily bundle windows.,https://proton.me/partners,Verified – official program + current team,Not contacted,Review contacts + personalize first touch,,,,"Already-developed lead. Contact Ana-Maria first, then Thais, Gustavo, Mike."
NordVPN,https://nordvpn.com,Privacy / VPN,A+,5,5,5,5,5,5,One of YouTube's most established sponsorship buyers and present in defence/geopolitics/cyber channels.,The Operations Room; Search Party; Cybernews; Kings and Generals,"Frame around privacy on public Wi-Fi, travel, surveillance, censorship and digital investigations.",VPN exclusivity blocks Proton/Surfshark/PIA/ExpressVPN.,https://sponsorradar.com/channels/theoperationsroom,Verified – comparable channels + current influencer team,Not contacted,Review contacts + personalize first touch,,,,High probability buyer if audience geography converts.
Surfshark,https://surfshark.com,Privacy / VPN,A+,5,5,5,5,5,5,"Repeated creator sponsor in defence, cyber and analysis niches with a dedicated influencer organization.",Covert Cabal; Type Ashton; Task & Purpose; Cybernews,Security/privacy overlap plus strong suitability for multi-platform creator packages.,VPN exclusivity blocks Proton/Nord/PIA/ExpressVPN.,https://sponsorradar.com/channels/taskandpurpose,Verified – comparable channels + creator team,Not contacted,Review contacts + personalize first touch,,,,Contact creator partnerships rather than generic affiliate support.
Incogni,https://incogni.com,Data removal / privacy,A+,5,5,5,5,4,4.9,"Very frequent sponsor of defence, geopolitics, cybersecurity and analysis creators.",Covert Cabal; Search Party; What About It; TLDR Daily; Cybernews,"Tie exposed personal data, brokers, OSINT and criminal targeting to practical privacy protection.",May conflict with DeleteMe/OneRep/Cloaked in same data-removal category.,https://sponsorradar.com/channels/covertcabal,Verified – comparable channels + creator team,Not contacted,Review contacts + personalize first touch,,,,Exceptionally strong audience fit.
DeleteMe,https://joindeleteme.com,Data removal / privacy,A+,5,5,5,5,4,4.9,"Large, established creator sponsorship footprint; appears in cybersecurity and geopolitics-adjacent channels.",Search Party; Cybernews,"Use doxxing/data-broker exposure angle; especially natural around intelligence, cartels, scams and personal-security stories.",Data-removal exclusivity vs Incogni/OneRep/Cloaked.,https://sponsorradar.com/channels/searchparty,Verified – comparable channels + current influencer hiring,Not contacted,Review contacts + personalize first touch,,,,Strong direct-response category.
Aura,https://www.aura.com,Identity protection / cybersecurity,A+,5,5,5,5,3,4.8,Frequent sponsor in scam/cyber and military-analysis channels.,Scammer Payback; The Operations Room,"Identity theft, scams and exposure are highly adjacent to crime/security content.",May overlap with Norton/LifeLock and other identity-protection services.,https://sponsorradar.com/channels/scammerpayback,Verified – comparable channels,Not contacted,Review contacts + personalize first touch,,,,Especially strong for US-heavy audiences.
Saily,https://saily.com,Travel eSIM / privacy,A+,5,5,4,4,5,4.5,Repeated sponsor in geopolitics/privacy creator ecosystem; supported by Nord Security influencer infrastructure.,Search Party; Incognito Mode,Audience interested in international events and travel; pitch global connectivity + safer travel use cases.,Potential internal category coordination with NordVPN.,https://sponsorradar.com/channels/searchparty,Verified – comparable channels + current influencer team,Not contacted,Review contacts + personalize first touch,,,,Good cross-platform fit for YouTube + Instagram.
Private Internet Access,https://www.privateinternetaccess.com,Privacy / VPN,A+,5,4,5,5,3,4.65,Active sponsor on serious long-form defence/geopolitics and commentary channels.,Perun; Rationality Rules,"Position as privacy infrastructure for an audience that follows intelligence, geopolitics and online security.",VPN exclusivity; some campaigns appear agency-managed.,https://sponsorradar.com/channels/perunau,Verified – comparable channels,Not contacted,Review contacts + personalize first touch,,,,Use MatchUp campaign route where appropriate.
Plaud,https://www.plaud.ai,AI hardware / productivity,A+,4,5,4,4,4,4.15,Appears in adjacent analysis channels and is actively hiring influencer marketing roles for YouTube and Instagram.,Covert Cabal; politics/current-affairs creators,"Investigators, researchers and information-heavy audiences understand the value of capture/transcription immediately.",AI note-taking competitors may require exclusivity.,https://sponsorradar.com/channels/covertcabal,Verified – comparable channel + current influencer hiring,Not contacted,Review contacts + personalize first touch,,,,Instagram Reels package could be attractive.
Bitdefender,https://www.bitdefender.com,Cybersecurity,A,5,5,3,5,4,4.4,Appears in cybersecurity sponsorship sets and has active consumer creator/influencer initiatives.,Cybernews,"Threats, scams, malware and criminal cyber activity are direct editorial adjacencies.",Antivirus/security-suite conflict with Norton/Malwarebytes.,https://sponsorradar.com/channels/cybernews,Verified – comparable channels + current creator/security marketing,Not contacted,Review contacts + personalize first touch,,,,Strong thematic fit even if creator buying volume is lower than VPN leaders.
Hostinger,https://www.hostinger.com,Web hosting / creator tech,A,4,5,5,3,5,4.25,Large creator acquisition program with dedicated partnerships/influencer staff; common cybersecurity/tech sponsor.,Cybernews,Pitch the entrepreneurial/creator side of the audience and the channel's own creator credibility.,Hosting exclusivity vs Bluehost/other hosts.,https://sponsorradar.com/channels/cybernews,Verified – comparable channel + current partnerships team,Not contacted,Review contacts + personalize first touch,,,,"Less thematic than privacy, but proven creator buyer."
