Deal Name,Company,Pipeline Stage,Priority,Category,Weighted Score,YouTube Fit,Instagram Fit,Next Action,Last Contact,Next Follow-up,Potential Exclusivity / Conflict,Research / Evidence URL,Notes,Deal Value,Currency,Owner
Ground News — Sponsorship,Ground News,Not contacted,A+,News / media literacy,5,5,5,Review contacts + personalize first touch,,,News/media-analysis category may conflict with direct competitors.,https://sponsorradar.com/channels/perunau,Best first non-Proton target. Strong evidence of creator-led acquisition and long-form YouTube sponsorships.,,EUR,
Proton VPN — Sponsorship,Proton VPN,Not contacted,A+,Privacy / VPN,5,5,5,Review contacts + personalize first touch,,,VPN exclusivity usually blocks NordVPN/Surfshark/PIA/ExpressVPN/Saily bundle windows.,https://proton.me/partners,"Already-developed lead. Contact Ana-Maria first, then Thais, Gustavo, Mike.",,EUR,
NordVPN — Sponsorship,NordVPN,Not contacted,A+,Privacy / VPN,5,5,5,Review contacts + personalize first touch,,,VPN exclusivity blocks Proton/Surfshark/PIA/ExpressVPN.,https://sponsorradar.com/channels/theoperationsroom,High probability buyer if audience geography converts.,,EUR,
Surfshark — Sponsorship,Surfshark,Not contacted,A+,Privacy / VPN,5,5,5,Review contacts + personalize first touch,,,VPN exclusivity blocks Proton/Nord/PIA/ExpressVPN.,https://sponsorradar.com/channels/taskandpurpose,Contact creator partnerships rather than generic affiliate support.,,EUR,
Incogni — Sponsorship,Incogni,Not contacted,A+,Data removal / privacy,4.9,5,5,Review contacts + personalize first touch,,,May conflict with DeleteMe/OneRep/Cloaked in same data-removal category.,https://sponsorradar.com/channels/covertcabal,Exceptionally strong audience fit.,,EUR,
DeleteMe — Sponsorship,DeleteMe,Not contacted,A+,Data removal / privacy,4.9,5,5,Review contacts + personalize first touch,,,Data-removal exclusivity vs Incogni/OneRep/Cloaked.,https://sponsorradar.com/channels/searchparty,Strong direct-response category.,,EUR,
Aura — Sponsorship,Aura,Not contacted,A+,Identity protection / cybersecurity,4.8,5,5,Review contacts + personalize first touch,,,May overlap with Norton/LifeLock and other identity-protection services.,https://sponsorradar.com/channels/scammerpayback,Especially strong for US-heavy audiences.,,EUR,
Saily — Sponsorship,Saily,Not contacted,A+,Travel eSIM / privacy,4.5,5,5,Review contacts + personalize first touch,,,Potential internal category coordination with NordVPN.,https://sponsorradar.com/channels/searchparty,Good cross-platform fit for YouTube + Instagram.,,EUR,
Private Internet Access — Sponsorship,Private Internet Access,Not contacted,A+,Privacy / VPN,4.65,5,4,Review contacts + personalize first touch,,,VPN exclusivity; some campaigns appear agency-managed.,https://sponsorradar.com/channels/perunau,Use MatchUp campaign route where appropriate.,,EUR,
Plaud — Sponsorship,Plaud,Not contacted,A+,AI hardware / productivity,4.15,4,5,Review contacts + personalize first touch,,,AI note-taking competitors may require exclusivity.,https://sponsorradar.com/channels/covertcabal,Instagram Reels package could be attractive.,,EUR,
Bitdefender — Sponsorship,Bitdefender,Not contacted,A,Cybersecurity,4.4,5,5,Review contacts + personalize first touch,,,Antivirus/security-suite conflict with Norton/Malwarebytes.,https://sponsorradar.com/channels/cybernews,Strong thematic fit even if creator buying volume is lower than VPN leaders.,,EUR,
Hostinger — Sponsorship,Hostinger,Not contacted,A,Web hosting / creator tech,4.25,4,5,Review contacts + personalize first touch,,,Hosting exclusivity vs Bluehost/other hosts.,https://sponsorradar.com/channels/cybernews,"Less thematic than privacy, but proven creator buyer.",,EUR,
War Thunder (Gaijin) — Sponsorship,War Thunder (Gaijin),Not contacted,A,Gaming / military,4.55,5,5,Review contacts + personalize first touch,,,Gaming category; avoid stacking competing war games.,https://sponsorradar.com/channels/militaryhistoryvisualized,Strong reach buyer but integration tone should remain credible.,,EUR,
Norton / LifeLock — Sponsorship,Norton / LifeLock,Not contacted,A,Cybersecurity / identity protection,4.3,5,5,Review contacts + personalize first touch,,,Security-suite/identity category overlap with Aura and Bitdefender.,https://sponsorradar.com/channels/cybernews,Likely strongest for US audience.,,EUR,
ExpressVPN — Sponsorship,ExpressVPN,Not contacted,A,Privacy / VPN,4.4,5,4,Review contacts + personalize first touch,,,VPN exclusivity.,https://sponsorradar.com/channels/taskandpurpose,Kape-owned; outreach route needs fresh contact verification.,,EUR,
