Full Name,Company,Contact Rank,Job Title,Employer / Agency,Contact Type,Why This Contact,LinkedIn / Route,Email,Verification Confidence,Verified / Researched,Source URL,Suggested Personalization,Outreach Status,Last Contact,Next Follow-up,Notes,Is Placeholder
Matt Forner,Ground News,1,Creator Partnerships,Ground News,Internal,Builds and scales creator partnership programs; publicly discusses YouTube sponsorship economics and audience alignment.,https://www.linkedin.com/in/mattforner,,High,2026-09-10,https://www.linkedin.com/in/mattforner,Lead with audience trust/alignment rather than projected views alone.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Tiffany Sliwa,Ground News,2,Influencer Marketing Manager,Ground News,Internal,Manages strategic influencer relationships and high-profile creator deals.,https://ca.linkedin.com/in/tiffanysliwa,,High,2026-09-10,https://ca.linkedin.com/in/tiffanysliwa,Mention fit with long-form geopolitics/security viewers.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Imamuddin Soomro,Ground News,3,Influencer / Partnerships,Ground News,Internal,"Experienced in digital, influencer and sponsorship deal structures.",https://ca.linkedin.com/in/imamsoomro,,Medium-High,2026-09-10,https://ca.linkedin.com/in/imamsoomro,Reference Ground News's long-form creator partnerships.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Victoria Adamo,Ground News,4,Influencer / creator partnerships,Ground News,Internal,Publicly engages creators/agencies and influencer-marketing hiring.,https://www.linkedin.com/in/victoria-adamo-b8135342,,Medium-High,2026-09-10,https://www.linkedin.com/in/victoria-adamo-b8135342,Mention rapidly growing Instagram in addition to YouTube.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Joshua Bond,Ground News,5,Creator / sponsorship revenue,Ground News,Internal,Public recommendations describe strong creator-landscape revenue performance.,https://ca.linkedin.com/in/joshua-bond-43b67916a,,Medium,2026-09-10,https://ca.linkedin.com/in/joshua-bond-43b67916a,Use as escalation/secondary contact if first outreach is quiet.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Ana-Maria Enache,Proton VPN,1,Influencer Marketing Manager,Proton,Internal,Directly responsible for influencer campaigns across creator platforms.,https://ro.linkedin.com/in/ana-maria-enache-727139ab,,High,2026-09-10,https://ro.linkedin.com/in/ana-maria-enache-727139ab,Reference her work on Proton influencer campaigns and the privacy/security audience fit.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Thais Bompani,Proton VPN,2,Influencer media / expansion strategy for Proton VPN,Joar Company,Agency,Publicly states she leads Proton VPN expansion strategy through influencer media.,https://www.linkedin.com/in/thaisbompani/en,,High,2026-09-10,https://www.linkedin.com/in/thaisbompani/en,Mention Proton's international influencer expansion and The Cartel Insider's cross-platform growth.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Gustavo Toselli Haag,Proton VPN,3,Influencer marketing team / growth,Proton,Internal,Publicly connected to Proton influencer team growth and hiring.,https://es.linkedin.com/in/gustavo-toselli-haag-189046123,,Medium-High,2026-09-10,https://es.linkedin.com/in/gustavo-toselli-haag-189046123,Ask whether he owns or can route a creator partnership in security/geopolitics.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Mike Stachurski,Proton VPN,4,Partnerships / Affiliate Marketing,Proton,Internal,Relevant escalation route for broader partner/affiliate structures.,https://nl.linkedin.com/in/mikestachurski,,Medium-High,2026-09-10,https://nl.linkedin.com/in/mikestachurski,"Pitch paid sponsorship first, with affiliate upside as secondary.",Not contacted,,,Named contact verified from current public profile/search evidence.,No
Official creator route,Proton VPN,5,Influencer partnerships inbox,Proton,Official route,Official Proton partner page lists influencers@proton.ch.,https://proton.me/partners,influencers@proton.ch,High,2026-09-10,https://proton.me/partners,Send media kit only after a concise fit-led introduction.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
